Link,Source,Tweet,Category,Label
https://twitter.com/TimesNow/status/1487707153116721153?s=20&t=VHBY2Wsv1qFvmQBptihUDQ,Times Now,The accused killed the child in a fit of anger after a fight with his wife. #Ahmedabad,Crime,0
https://twitter.com/TimesNow/status/1487704637113200645?s=20&t=VHBY2Wsv1qFvmQBptihUDQ,Times Now,A woman died and her friend went missing after they allegedly jumped into Yamuna river from Kalindi Kunj bridge in the national capital on Saturday. #Delhi,Crime,0
https://twitter.com/TimesNow/status/1487697092290260992?s=20&t=VHBY2Wsv1qFvmQBptihUDQ,Times Now,The accused issued fake fee receipts to the parents. #Mumbai,Crime,0
https://twitter.com/TimesNow/status/1487692053513396228?s=20&t=VHBY2Wsv1qFvmQBptihUDQ,Times Now,The three accused were arrested by the police on Friday. #Delhi #Crime,Crime,0
https://twitter.com/timesnowsports/status/1486555869902880770?s=20&t=VHBY2Wsv1qFvmQBptihUDQ,Times Now,Indian all-rounder Krunal Pandya's Twitter account gets hacked; hacker asks for Bitcoins #KrunalPandya ,Crime,0
https://twitter.com/IndiaToday/status/1487740066910945282?s=20&t=QTswMTQmzv7DGK6fwEs97Q,India Today,The Crime Branch arrested a 47-year-old man for cheating more than Rs 1.75 crores from innocent home buyers. (By @TanseemHaider),Crime,0
https://twitter.com/IndiaToday/status/1487739941585301506?s=20&t=QTswMTQmzv7DGK6fwEs97Q,India Today,"#Bengaluru pothole death: Woman dies after being hit by a minivan, @nagarjund reports #ITVideo",Crime,0
https://twitter.com/TimesNow/status/1487722252762173449?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,A tip-off was received that the accused was heading towards Pune following which he was arrested. #Pune,Crime,0
https://twitter.com/TimesNow/status/1487719737694035969?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,A teenager in the UK has been suspended from driving for two years after crashing into a McDonald's outlet. #Buzz #Trending,Crime,0
https://twitter.com/TimesNow/status/1487679105240043522?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Kishan Bharwad murder case: Gujarat ATS arrests Maulana Qamar. Total six arrests have been made in this case so far. #Gujarat #KishanBharwad,Crime,0
https://twitter.com/TimesNow/status/1487674437398929412?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,"The first encounter broke out in the Chrar-i-Sharief area of Budgam, while the second was in the Naira area of Pulwama. #JammuAndKashmir #Pulwama",Crime,0
https://twitter.com/TimesNow/status/1487669404368134145?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,The girl's parents alleged that the youth kidnapped their daughter. #Panchkula #Crime,Crime,0
https://twitter.com/TimesNow/status/1487666890730356736?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Five people were killed today in a collision between a car and a container truck on the Mumbai-Pune Expressway. #MumbaiPuneExpressway,Crime,0
https://twitter.com/TimesNow/status/1487661854667198466?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,A man allegedly assaulted his elderly mother and then tried to end his life in Haryana's Gurugram near Delhi on Friday. #Gurugram #crime,Crime,0
https://twitter.com/TimesNow/status/1487639205425475591?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Police registered a case against the accused doctor after the victim's husband contacted police and reported about the incident. #Delhi #Crime,Crime,0
https://twitter.com/TimesNow/status/1487633010434482180?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,"Naxal encounter underway in Sukma, 1 Naxal's body recovered. Jayprakash with details. #Sukma",Crime,0
https://twitter.com/TimesNow/status/1487632564693127168?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Dhanbad judge death: New CBI team appointed to probe the case. Bhavatosh with the latest. #CBI #Dhanbad,Crime,0
https://twitter.com/TimesNow/status/1487613727318884357?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Uttar Pradesh minister Laxmi Narain Chaudhary's aide killed in Mathura Amir with more. #UPElections22 #March10WithTimesNow,Crime,0
https://twitter.com/TimesNow/status/1487568742406045700?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,#Jharkhand: #CBI gets one more chance to question two accused in death of Judge Uttam Anand,Crime,0
https://twitter.com/TimesNow/status/1487470603913154562?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Gautam Buddha Nagar Police on Friday arrested two individuals for robbing commuters in #GreaterNoida after offering them lift in a car.,Crime,0
https://twitter.com/TimesNow/status/1487468077818081280?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,Two Nigerian nationals have been arrested from #Bengaluru on charges of drug peddling on Saturday. #Crime,Crime,0
https://twitter.com/TimesNow/status/1487465387931414531?s=20&t=AsdfRK8QA9JLy6XoYIz5vw,Times Now,#CBIForLavanya | This is not about DMK vs AIADMK or BJP vs any other party. This is about the horrific suicide of a 17-year-old girl: BJP's @Sanju_Verma_ @TheNewshour Spl Ed,Crime,0
https://twitter.com/MirrorNow/status/1487538543232618496?s=20&t=GaFzAWLEfBrACph2m_Gs0Q,Mirror Now,Pune youth thrashing: Wakad police said the victim was called by the criminal Rahul Waghmare who thrashed him with belts for not calling him 'Bhai',Crime,0
https://twitter.com/MirrorNow/status/1487553643717050368?s=20&t=GaFzAWLEfBrACph2m_Gs0Q,Mirror Now,#Thane: 65-year-old #quack 'kills' five patients with wrong treatment; arrested,Crime,0
